Date,Open,High,Low,Close
12/31/2010,"8.32","8.32","8.32","8.32"
12/30/2010,"8.34","8.34","8.34","8.34"
12/29/2010,"8.36","8.36","8.36","8.36"
12/28/2010,"8.34","8.34","8.34","8.34"
12/27/2010,"8.37","8.37","8.37","8.37"
12/23/2010,"8.36","8.36","8.36","8.36"
12/22/2010,"8.37","8.37","8.37","8.37"
12/21/2010,"8.39","8.39","8.39","8.39"
12/20/2010,"8.33","8.33","8.33","8.33"
12/17/2010,"8.32","8.32","8.32","8.32"
12/16/2010,"8.27","8.27","8.27","8.27"
12/15/2010,"8.21","8.21","8.21","8.21"
12/14/2010,"8.25","8.25","8.25","8.25"
12/13/2010,"8.30","8.30","8.30","8.30"
12/10/2010,"8.33","8.33","8.33","8.33"
12/09/2010,"8.28","8.28","8.28","8.28"
12/08/2010,"8.27","8.27","8.27","8.27"
12/07/2010,"8.25","8.25","8.25","8.25"
12/06/2010,"8.26","8.26","8.26","8.26"
12/03/2010,"8.24","8.24","8.24","8.24"
12/02/2010,"8.19","8.19","8.19","8.19"
12/01/2010,"8.12","8.12","8.12","8.12"
11/30/2010,"7.94","7.94","7.94","7.94"
11/29/2010,"8.00","8.00","8.00","8.00"
11/26/2010,"8.04","8.04","8.04","8.04"
11/24/2010,"8.07","8.07","8.07","8.07"
11/23/2010,"7.92","7.92","7.92","7.92"
11/22/2010,"8.01","8.01","8.01","8.01"
11/19/2010,"7.94","7.94","7.94","7.94"
11/18/2010,"7.84","7.84","7.84","7.84"
11/17/2010,"7.69","7.69","7.69","7.69"
11/16/2010,"7.67","7.67","7.67","7.67"
11/15/2010,"7.80","7.80","7.80","7.80"
11/12/2010,"7.82","7.82","7.82","7.82"
11/11/2010,"7.95","7.95","7.95","7.95"
11/10/2010,"7.97","7.97","7.97","7.97"
11/09/2010,"7.90","7.90","7.90","7.90"
11/08/2010,"7.97","7.97","7.97","7.97"
11/05/2010,"7.97","7.97","7.97","7.97"
11/04/2010,"7.96","7.96","7.96","7.96"
11/03/2010,"7.86","7.86","7.86","7.86"
11/02/2010,"7.82","7.82","7.82","7.82"
11/01/2010,"7.74","7.74","7.74","7.74"
10/29/2010,"7.74","7.74","7.74","7.74"
10/28/2010,"7.73","7.73","7.73","7.73"
10/27/2010,"7.75","7.75","7.75","7.75"
10/26/2010,"7.72","7.72","7.72","7.72"
10/25/2010,"7.70","7.70","7.70","7.70"
10/22/2010,"7.64","7.64","7.64","7.64"
10/21/2010,"7.56","7.56","7.56","7.56"
10/20/2010,"7.53","7.53","7.53","7.53"
10/19/2010,"7.50","7.50","7.50","7.50"
10/18/2010,"7.66","7.66","7.66","7.66"
10/15/2010,"7.65","7.65","7.65","7.65"
10/14/2010,"7.59","7.59","7.59","7.59"
10/13/2010,"7.59","7.59","7.59","7.59"
10/12/2010,"7.53","7.53","7.53","7.53"
10/11/2010,"7.47","7.47","7.47","7.47"
10/08/2010,"7.50","7.50","7.50","7.50"
10/07/2010,"7.42","7.42","7.42","7.42"
10/06/2010,"7.43","7.43","7.43","7.43"
10/05/2010,"7.55","7.55","7.55","7.55"
10/04/2010,"7.38","7.38","7.38","7.38"
10/01/2010,"7.43","7.43","7.43","7.43"
09/30/2010,"7.45","7.45","7.45","7.45"
09/29/2010,"7.47","7.47","7.47","7.47"
09/28/2010,"7.49","7.49","7.49","7.49"
09/27/2010,"7.46","7.46","7.46","7.46"
09/24/2010,"7.48","7.48","7.48","7.48"
09/23/2010,"7.31","7.31","7.31","7.31"
09/22/2010,"7.32","7.32","7.32","7.32"
09/21/2010,"7.37","7.37","7.37","7.37"
09/20/2010,"7.39","7.39","7.39","7.39"
09/17/2010,"7.26","7.26","7.26","7.26"
09/16/2010,"7.24","7.24","7.24","7.24"
09/15/2010,"7.24","7.24","7.24","7.24"
09/14/2010,"7.21","7.21","7.21","7.21"
09/13/2010,"7.20","7.20","7.20","7.20"
09/10/2010,"7.09","7.09","7.09","7.09"
09/09/2010,"7.06","7.06","7.06","7.06"
09/08/2010,"7.07","7.07","7.07","7.07"
09/07/2010,"7.01","7.01","7.01","7.01"
09/03/2010,"7.09","7.09","7.09","7.09"
09/02/2010,"6.99","6.99","6.99","6.99"
09/01/2010,"6.88","6.88","6.88","6.88"
08/31/2010,"6.67","6.67","6.67","6.67"
08/30/2010,"6.68","6.68","6.68","6.68"
08/27/2010,"6.79","6.79","6.79","6.79"
08/26/2010,"6.66","6.66","6.66","6.66"
08/25/2010,"6.72","6.72","6.72","6.72"
08/24/2010,"6.67","6.67","6.67","6.67"
08/23/2010,"6.78","6.78","6.78","6.78"
08/20/2010,"6.82","6.82","6.82","6.82"
08/19/2010,"6.77","6.77","6.77","6.77"
08/18/2010,"6.89","6.89","6.89","6.89"
08/17/2010,"6.88","6.88","6.88","6.88"
08/16/2010,"6.77","6.77","6.77","6.77"
08/13/2010,"6.75","6.75","6.75","6.75"
08/12/2010,"6.78","6.78","6.78","6.78"
08/11/2010,"6.82","6.82","6.82","6.82"
08/10/2010,"7.05","7.05","7.05","7.05"
08/09/2010,"7.12","7.12","7.12","7.12"
08/06/2010,"7.06","7.06","7.06","7.06"
08/05/2010,"7.07","7.07","7.07","7.07"
08/04/2010,"7.11","7.11","7.11","7.11"
08/03/2010,"7.01","7.01","7.01","7.01"
08/02/2010,"7.04","7.04","7.04","7.04"
07/30/2010,"6.90","6.90","6.90","6.90"
07/29/2010,"6.89","6.89","6.89","6.89"
07/28/2010,"6.94","6.94","6.94","6.94"
07/27/2010,"7.03","7.03","7.03","7.03"
07/26/2010,"7.08","7.08","7.08","7.08"
07/23/2010,"6.98","6.98","6.98","6.98"
07/22/2010,"6.89","6.89","6.89","6.89"
07/21/2010,"6.72","6.72","6.72","6.72"
07/20/2010,"6.80","6.80","6.80","6.80"
07/19/2010,"6.72","6.72","6.72","6.72"
07/16/2010,"6.69","6.69","6.69","6.69"
07/15/2010,"6.90","6.90","6.90","6.90"
07/14/2010,"6.91","6.91","6.91","6.91"
07/13/2010,"6.88","6.88","6.88","6.88"
07/12/2010,"6.76","6.76","6.76","6.76"
07/09/2010,"6.77","6.77","6.77","6.77"
07/08/2010,"6.70","6.70","6.70","6.70"
07/07/2010,"6.64","6.64","6.64","6.64"
07/06/2010,"6.42","6.42","6.42","6.42"
07/02/2010,"6.42","6.42","6.42","6.42"
07/01/2010,"6.45","6.45","6.45","6.45"
06/30/2010,"6.47","6.47","6.47","6.47"
06/29/2010,"6.54","6.54","6.54","6.54"
06/28/2010,"6.81","6.81","6.81","6.81"
06/25/2010,"6.83","6.83","6.83","6.83"
06/24/2010,"6.79","6.79","6.79","6.79"
06/23/2010,"6.91","6.91","6.91","6.91"
06/22/2010,"6.91","6.91","6.91","6.91"
06/21/2010,"7.04","7.04","7.04","7.04"
06/18/2010,"7.11","7.11","7.11","7.11"
06/17/2010,"7.10","7.10","7.10","7.10"
06/16/2010,"7.09","7.09","7.09","7.09"
06/15/2010,"7.09","7.09","7.09","7.09"
06/14/2010,"6.92","6.92","6.92","6.92"
06/11/2010,"6.92","6.92","6.92","6.92"
06/10/2010,"6.84","6.84","6.84","6.84"
06/09/2010,"6.63","6.63","6.63","6.63"
06/08/2010,"6.65","6.65","6.65","6.65"
06/07/2010,"6.64","6.64","6.64","6.64"
06/04/2010,"6.80","6.80","6.80","6.80"
06/03/2010,"7.07","7.07","7.07","7.07"
06/02/2010,"6.99","6.99","6.99","6.99"
06/01/2010,"6.80","6.80","6.80","6.80"
05/28/2010,"6.91","6.91","6.91","6.91"
05/27/2010,"6.98","6.98","6.98","6.98"
05/26/2010,"6.73","6.73","6.73","6.73"
05/25/2010,"6.74","6.74","6.74","6.74"
05/24/2010,"6.74","6.74","6.74","6.74"
05/21/2010,"6.79","6.79","6.79","6.79"
05/20/2010,"6.69","6.69","6.69","6.69"
05/19/2010,"6.96","6.96","6.96","6.96"
05/18/2010,"7.02","7.02","7.02","7.02"
05/17/2010,"7.13","7.13","7.13","7.13"
05/14/2010,"7.12","7.12","7.12","7.12"
05/13/2010,"7.31","7.31","7.31","7.31"
05/12/2010,"7.38","7.38","7.38","7.38"
05/11/2010,"7.21","7.21","7.21","7.21"
05/10/2010,"7.20","7.20","7.20","7.20"
05/07/2010,"6.84","6.84","6.84","6.84"
05/06/2010,"7.02","7.02","7.02","7.02"
05/05/2010,"7.27","7.27","7.27","7.27"
05/04/2010,"7.39","7.39","7.39","7.39"
05/03/2010,"7.60","7.60","7.60","7.60"
04/30/2010,"7.48","7.48","7.48","7.48"
04/29/2010,"7.63","7.63","7.63","7.63"
04/28/2010,"7.49","7.49","7.49","7.49"
04/27/2010,"7.48","7.48","7.48","7.48"
04/26/2010,"7.67","7.67","7.67","7.67"
04/23/2010,"7.69","7.69","7.69","7.69"
04/22/2010,"7.63","7.63","7.63","7.63"
04/21/2010,"7.58","7.58","7.58","7.58"
04/20/2010,"7.58","7.58","7.58","7.58"
04/19/2010,"7.51","7.51","7.51","7.51"
04/16/2010,"7.55","7.55","7.55","7.55"
04/15/2010,"7.66","7.66","7.66","7.66"
04/14/2010,"7.65","7.65","7.65","7.65"
04/13/2010,"7.53","7.53","7.53","7.53"
04/12/2010,"7.53","7.53","7.53","7.53"
04/09/2010,"7.51","7.51","7.51","7.51"
04/08/2010,"7.45","7.45","7.45","7.45"
04/07/2010,"7.44","7.44","7.44","7.44"
04/06/2010,"7.47","7.47","7.47","7.47"
04/05/2010,"7.46","7.46","7.46","7.46"
04/01/2010,"7.36","7.36","7.36","7.36"
03/31/2010,"7.31","7.31","7.31","7.31"
03/30/2010,"7.35","7.35","7.35","7.35"
03/29/2010,"7.33","7.33","7.33","7.33"
03/26/2010,"7.30","7.30","7.30","7.30"
03/25/2010,"7.29","7.29","7.29","7.29"
03/24/2010,"7.31","7.31","7.31","7.31"
03/23/2010,"7.36","7.36","7.36","7.36"
03/22/2010,"7.30","7.30","7.30","7.30"
03/19/2010,"7.23","7.23","7.23","7.23"
03/18/2010,"7.29","7.29","7.29","7.29"
03/17/2010,"7.31","7.31","7.31","7.31"
03/16/2010,"7.29","7.29","7.29","7.29"
03/15/2010,"7.24","7.24","7.24","7.24"
03/12/2010,"7.25","7.25","7.25","7.25"
03/11/2010,"7.24","7.24","7.24","7.24"
03/10/2010,"7.21","7.21","7.21","7.21"
03/09/2010,"7.14","7.14","7.14","7.14"
03/08/2010,"7.10","7.10","7.10","7.10"
03/05/2010,"7.10","7.10","7.10","7.10"
03/04/2010,"6.99","6.99","6.99","6.99"
03/03/2010,"6.96","6.96","6.96","6.96"
03/02/2010,"6.95","6.95","6.95","6.95"
03/01/2010,"6.91","6.91","6.91","6.91"
02/26/2010,"6.79","6.79","6.79","6.79"
02/25/2010,"6.78","6.78","6.78","6.78"
02/24/2010,"6.79","6.79","6.79","6.79"
02/23/2010,"6.74","6.74","6.74","6.74"
02/22/2010,"6.84","6.84","6.84","6.84"
02/19/2010,"6.87","6.87","6.87","6.87"
02/18/2010,"6.86","6.86","6.86","6.86"
02/17/2010,"6.82","6.82","6.82","6.82"
02/16/2010,"6.78","6.78","6.78","6.78"
02/12/2010,"6.67","6.67","6.67","6.67"
02/11/2010,"6.65","6.65","6.65","6.65"
02/10/2010,"6.55","6.55","6.55","6.55"
02/09/2010,"6.56","6.56","6.56","6.56"
02/08/2010,"6.45","6.45","6.45","6.45"
02/05/2010,"6.49","6.49","6.49","6.49"
02/04/2010,"6.47","6.47","6.47","6.47"
