DATE,MKTGDPINA646NWDB
1960-01-01,37029883846.9303
1961-01-01,39232435753.0422
1962-01-01,42161481824.7743
1963-01-01,48421923420.8701
1964-01-01,56480289896.3705
1965-01-01,59554854575.8085
1966-01-01,45865462034.2857
1967-01-01,50134942160.5497
1968-01-01,53085455824.6593
1969-01-01,58447994966.6784
1970-01-01,62422483000.5672
1971-01-01,67351407965.1281
1972-01-01,71463193831.0092
1973-01-01,85515269585.4
1974-01-01,99525899116.054
1975-01-01,98472796456.884
1976-01-01,102717164466.397
1977-01-01,121486645611.522
1978-01-01,137300295313.3
1979-01-01,152991653793.77
1980-01-01,186325345086.661
1981-01-01,193491373249.4
1982-01-01,200715633588.789
1983-01-01,218262154670.612
1984-01-01,212157639237.202
1985-01-01,232511561180.057
1986-01-01,248985994042.212
1987-01-01,279033584092.223
1988-01-01,296589677725.074
1989-01-01,296042058867.01
1990-01-01,320979026420.035
1991-01-01,270105341879.226
1992-01-01,288208066640.584
1993-01-01,279295644530.09
1994-01-01,327275583539.559
1995-01-01,360281907854.994
1996-01-01,392896860670.885
1997-01-01,415867567334.185
1998-01-01,421351318896.874
1999-01-01,458820417337.807
2000-01-01,468394937262.37
2001-01-01,485441014538.638
2002-01-01,514937948870.08
2003-01-01,607699285433.872
2004-01-01,709148514804.659
2005-01-01,820381595512.902
2006-01-01,940259888792.141
2007-01-01,1216736448906.29
2008-01-01,1198895147694.77
2009-01-01,1341888016988.57
2010-01-01,1675615502766.2
2011-01-01,1823051829894.55
2012-01-01,1827637579584.79
2013-01-01,1856721494834.64
2014-01-01,2039126469963.35
2015-01-01,2103588347241.77
2016-01-01,2294796889945.04
2017-01-01,2651474263257.15
2018-01-01,2702929639861.5
2019-01-01,2835606242052.48
2020-01-01,2671595389575.7
2021-01-01,3150306834279.65
2022-01-01,3385089881935.39
